date,open,high,low,close,volume
2024-12-02,36.63,37.1,36.5,36.82,13385435
2024-12-03,36.84,36.94,36.25,36.4,10732129
2024-12-04,36.38,36.63,35.82,36.05,10835982
2024-12-05,35.77,36.32,35.67,36.06,7431738
2024-12-06,35.9,36.85,35.9,36.77,13070380
2024-12-09,37.12,38.17,36.61,37.96,24001028
2024-12-10,39.03,39.14,37.56,37.73,17357195
2024-12-11,37.6,38.14,37.06,38.03,12721463
2024-12-12,38.03,38.3,37.79,38.04,10253180
2024-12-13,37.92,38.6,37.45,38.21,18392182
2024-12-16,38.18,38.34,37.27,37.53,13328688
2024-12-17,37.5,38.46,37.14,37.32,13707994
2024-12-18,37.54,38.4,37.19,38.06,13390495
2024-12-19,37.99,38.56,37.45,38.27,10283264
2024-12-20,38.39,39.13,38.05,38.83,12617135
2024-12-23,38.88,39.12,37.6,37.68,13248649
2024-12-24,37.85,39.99,37.79,39.84,29391803
2024-12-25,39.96,40.08,39.11,39.34,13377554
2024-12-26,39.44,40.17,39.06,39.95,14491827
2024-12-27,39.89,40.03,39.0,39.1,15076421
2024-12-30,38.8,39.6,38.74,38.89,10752300
2024-12-31,39.0,39.35,38.33,38.51,12464042
2025-01-02,38.51,38.75,36.78,37.03,17024200
2025-01-03,36.96,37.25,36.31,36.42,13842000
2025-01-06,36.42,36.69,35.91,36.3,12492845
2025-01-07,36.5,37.3,36.3,37.01,13482105
2025-01-08,36.98,37.25,36.0,36.93,9926149
2025-01-09,36.95,38.37,36.76,37.79,15199140
2025-01-10,37.5,38.06,37.39,37.39,9313963
2025-01-13,37.22,37.68,36.28,36.5,8311794
2025-01-14,36.47,37.46,35.65,37.0,18644688
2025-01-15,37.0,37.66,36.55,36.87,11865379
2025-01-16,36.98,37.23,36.21,36.32,8839456
2025-01-17,36.5,38.5,36.36,37.87,17161170
2025-01-20,37.94,38.21,37.37,37.49,12019309
2025-01-21,37.64,38.13,37.12,37.95,11437404
2025-01-22,37.83,38.08,37.05,37.77,9005941
2025-01-23,38.0,38.11,37.3,37.43,10337231
2025-01-24,37.41,38.76,37.29,38.64,17051150
2025-01-27,38.8,39.04,37.88,37.9,13907914
2025-02-05,38.1,38.29,37.4,37.77,9519231
2025-02-06,37.7,38.93,37.45,38.77,13607354
2025-02-07,38.6,38.86,37.47,37.85,22189838
2025-02-10,37.81,38.48,37.44,38.34,13037377
2025-02-11,38.18,38.98,37.98,38.38,10489869
2025-02-12,38.35,39.43,38.23,39.31,16444380
2025-02-13,39.19,39.7,38.68,38.69,12465789
2025-02-14,38.59,38.75,37.88,38.2,10132605
2025-02-17,38.2,38.99,37.87,38.21,13157774
2025-02-18,38.32,38.39,36.99,37.24,12478354
2025-02-19,37.44,38.14,37.12,37.74,9503131
2025-02-20,37.86,39.06,37.66,38.88,13075841
2025-02-21,39.14,39.79,38.55,39.65,16056173
2025-02-24,39.31,40.3,39.0,40.07,20643082
2025-02-25,39.39,40.0,38.3,38.57,18381046
2025-02-26,38.66,39.13,38.14,38.41,12014849
2025-02-27,38.99,41.0,38.99,40.6,28527580
2025-02-28,40.6,40.6,38.78,38.9,17938236
2025-03-03,39.26,41.13,38.87,40.1,20639817
2025-03-04,39.88,40.29,39.41,39.57,12928204
2025-03-05,39.59,40.46,39.43,39.88,12173242
2025-03-06,39.9,40.88,39.86,40.27,13583820
2025-03-07,40.2,41.35,39.95,40.3,13636888
2025-03-10,39.92,40.07,38.91,39.35,14585949
2025-03-11,39.1,39.44,38.73,39.2,8197470
2025-03-12,39.2,39.36,38.46,38.6,11814039
2025-03-13,38.61,38.82,37.9,38.5,9275642
2025-03-14,38.5,39.5,38.5,39.05,12698480
2025-03-17,39.24,39.48,38.42,38.63,10841671
2025-03-18,38.62,39.28,38.54,39.01,9214150
2025-03-19,39.03,39.25,38.18,38.42,11009383
2025-03-20,38.49,38.75,38.2,38.41,5631972
2025-03-21,38.41,39.09,37.85,37.97,11005631
2025-03-24,37.94,38.45,37.75,38.14,9562899
2025-03-25,38.15,39.98,38.14,39.1,21453466
2025-03-26,39.05,39.69,38.95,39.26,9691612
2025-03-27,39.21,39.74,38.88,39.44,7419058
2025-03-28,39.35,39.9,38.7,38.85,9380116
2025-03-31,38.85,39.85,38.74,39.64,12971612
2025-04-01,39.78,40.11,39.25,39.38,10661092
2025-04-02,39.58,39.88,39.3,39.51,5891266
2025-04-03,39.75,39.75,37.8,38.08,15287315
2025-04-07,36.78,37.0,34.33,35.2,25955507
2025-04-08,36.08,36.2,33.38,33.84,26657537
2025-04-09,33.67,35.59,32.68,34.0,20603229
2025-04-10,34.71,35.89,34.48,34.9,14633267
2025-04-11,35.24,36.37,34.8,35.92,12681460
2025-04-14,36.46,36.8,36.02,36.58,9159336
2025-04-15,36.64,36.8,36.05,36.6,6035936
2025-04-16,36.28,36.63,35.01,35.43,11467765
2025-04-17,35.3,35.9,35.12,35.43,6743406
2025-04-18,35.43,36.21,35.34,36.04,5575450
2025-04-21,35.98,36.72,35.86,36.47,6839424
2025-04-22,36.35,36.61,36.02,36.04,7152055
2025-04-23,36.04,36.53,35.98,36.22,7791870
2025-04-24,36.23,36.29,35.41,35.62,8950501
2025-04-25,35.63,35.75,35.04,35.31,6980175
2025-04-28,35.32,35.98,35.16,35.36,6922610
2025-04-29,35.16,35.16,33.2,34.67,18206192
2025-04-30,34.64,34.9,34.15,34.31,9184014
2025-05-06,34.99,35.44,34.21,34.28,14921806
2025-05-07,34.66,35.3,34.55,34.88,15410520
2025-05-08,34.7,34.96,34.43,34.79,11772132
2025-05-09,34.6,34.73,33.83,33.91,12947427
2025-05-12,34.08,34.38,33.66,34.13,10073555
2025-05-13,34.7,35.78,34.58,35.04,17521744
2025-05-14,35.0,35.36,34.34,35.0,10978119
2025-05-15,34.92,35.36,34.61,34.64,8073788
