date,open,high,low,close,volume
2024-12-02,66.01,66.63,65.5,66.5,16156154
2024-12-03,66.52,66.93,64.8,65.64,14549029
2024-12-04,67.15,68.0,65.81,65.97,23168896
2024-12-05,65.4,65.95,65.01,65.18,14542173
2024-12-06,65.21,66.49,64.87,66.22,15798489
2024-12-09,66.0,66.18,64.76,65.18,12418068
2024-12-10,67.88,67.88,65.6,65.75,17696179
2024-12-11,65.67,66.45,65.5,65.9,12533032
2024-12-12,65.89,66.85,65.38,66.81,14887497
2024-12-13,66.38,66.65,65.22,65.36,17933516
2024-12-16,65.36,67.55,65.01,65.36,19024874
2024-12-17,65.01,65.8,64.44,64.75,12008463
2024-12-18,65.0,66.37,64.2,66.03,19375983
2024-12-19,65.11,68.55,65.0,68.19,38124880
2024-12-20,68.05,70.55,67.2,68.89,37786386
2024-12-23,68.74,70.88,67.3,67.74,34669651
2024-12-24,67.8,68.25,66.18,67.98,23628050
2024-12-25,67.95,68.63,66.88,67.2,19110132
2024-12-26,67.0,69.17,66.66,68.99,25856672
2024-12-27,69.07,69.98,67.89,68.12,27944993
2024-12-30,67.9,68.55,67.04,67.31,18614061
2024-12-31,67.3,67.42,64.16,64.37,25362368
2025-01-02,64.04,64.13,60.1,60.81,24391165
2025-01-03,60.81,61.18,59.3,59.43,15491664
2025-01-06,59.43,59.95,58.59,58.9,10542517
2025-01-07,59.17,60.52,58.91,60.36,12313790
2025-01-08,60.0,60.1,57.36,59.4,16255234
2025-01-09,59.2,60.86,58.98,60.08,14366285
2025-01-10,59.99,61.0,58.55,58.61,13461043
2025-01-13,58.0,58.95,57.48,57.95,10207968
2025-01-14,57.92,59.95,56.5,59.87,24621576
2025-01-15,59.87,60.15,58.81,58.95,14648138
2025-01-16,59.4,60.47,58.55,59.22,14325303
2025-01-17,58.81,61.52,58.72,60.86,23329442
2025-01-20,61.07,61.38,60.11,60.17,14363877
2025-01-21,60.5,60.6,59.6,60.41,12402805
2025-01-22,60.0,60.45,59.5,59.68,12020294
2025-01-23,60.41,61.26,59.2,59.22,15545957
2025-01-24,59.21,59.88,59.0,59.82,11800618
2025-01-27,60.2,60.38,59.09,59.12,12020260
2025-02-05,60.01,61.18,59.6,60.8,19929163
2025-02-06,60.4,62.21,60.24,62.16,24169838
2025-02-07,62.18,64.64,61.67,63.27,33828384
2025-02-10,63.63,64.5,63.22,63.99,22746065
2025-02-11,63.7,64.99,63.03,63.83,21432251
2025-02-12,63.6,65.88,63.23,65.63,28224657
2025-02-13,65.27,65.48,63.63,63.68,19699569
2025-02-14,63.53,65.21,62.94,64.71,19733972
2025-02-17,64.78,66.52,64.77,65.26,20410160
2025-02-18,65.0,65.27,61.67,62.23,28264900
2025-02-19,62.22,64.13,62.2,64.11,21868630
2025-02-20,64.08,64.14,62.9,63.56,15636832
2025-02-21,63.82,66.15,63.5,65.93,40011809
2025-02-24,66.0,66.25,64.78,65.3,26078797
2025-02-25,64.3,65.93,64.08,64.74,20720675
2025-02-26,64.83,66.36,63.84,65.95,30154697
2025-02-27,66.31,66.5,63.56,64.83,27329356
2025-02-28,64.22,64.45,61.58,61.65,28188067
2025-03-03,61.67,63.11,61.14,61.8,16303823
2025-03-04,61.39,67.98,61.28,67.98,51056248
2025-03-05,70.06,70.88,68.2,68.7,91637614
2025-03-06,69.26,70.5,68.65,69.97,57610466
2025-03-07,69.5,72.23,69.18,69.58,61109398
2025-03-10,69.82,71.28,69.25,70.57,42963971
2025-03-11,69.11,73.0,68.88,71.58,46231425
2025-03-12,71.65,72.2,70.66,70.7,36432468
2025-03-13,71.1,71.28,68.8,69.3,32968626
2025-03-14,69.06,70.25,68.92,69.9,27509671
2025-03-17,69.66,69.8,68.34,68.66,25395077
2025-03-18,68.8,70.66,68.7,68.95,24664323
2025-03-19,68.45,69.27,67.66,67.91,20079285
2025-03-20,67.84,71.0,67.65,68.72,36633918
2025-03-21,68.12,69.4,66.0,66.2,28951352
2025-03-24,66.02,66.56,64.56,66.1,19290194
2025-03-25,66.03,69.18,65.55,68.39,35359599
2025-03-26,67.8,69.87,67.5,69.07,22634355
2025-03-27,68.5,69.68,67.75,68.1,19312768
2025-03-28,68.0,68.01,66.15,66.67,16673743
2025-03-31,66.03,66.63,64.91,65.74,14515396
2025-04-01,66.0,67.48,65.75,66.32,14364397
2025-04-02,66.2,69.0,65.9,67.53,18123291
2025-04-03,66.88,69.2,66.81,67.86,18620883
2025-04-07,64.5,67.45,61.07,63.11,39877436
2025-04-08,63.99,64.7,61.41,62.78,25311517
2025-04-09,62.0,69.06,61.37,69.06,58875644
2025-04-10,69.49,70.99,68.1,69.31,67379125
2025-04-11,68.8,73.18,68.7,71.7,72969284
2025-04-14,72.15,72.15,70.3,70.59,37192640
2025-04-15,70.44,70.74,68.45,69.39,26668880
